,1950,,,1951,,,1952,,,1953,,,1954,,,1955,,,1956,,,1957,,,1958,,,1959,,,1960,,,1961,,,1962,,,1963,,,1964,,,1965,,,1966,,,1967,,,1968,,,1969,,,1970,,,1971,,,1972,,,1973,,,1974,,,1975,,,1976,,,1977,,,1978,,,1979,,,1980,,,1981,,,1982,,,1983,,,1984,,,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,
Country,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,52.3,62.8
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8.5,11.5
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,12.94,16.57,3.87,13.71,17.58,3.71,13.81,17.52,3.86,14.67,18.53,4.11,15.25,19.36,4.14,15.4,19.54,4.3,15.49,19.79,4.36,16.07,20.43,4.73,15.99,20.72,4.86,16.6,21.46,4.66,16.38,21.04,4.86,16.45,21.31,5.09,16.5,21.59,5.19,16.81,22,5.03,16.56,21.59,5.33,16.82,22.15,5.46,16.61,22.07,5.44,16.43,21.87,5.7,16.71,22.41,5.63,16.4,22.03,5.9,16.23,22.13,6.09,16.21,22.3,6.08,16.17,22.25,6.02,16.12,22.14
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,22.5,33.3
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81,35.56,43.37,6.71,37.66,44.37,6.61,38.33,44.94,7.12,35.94,43.06,6.57,36.17,42.74,6.38,35.17,41.55,5.98,33.63,39.61,5.75,36.68,42.43,6.48,35.64,42.12,6.42,37.47,43.89,6.21,35.55,41.76,5.72,34.53,40.25,5.93,35.14,41.07,6.3,35.43,41.73,5.46,34.59,40.05,6.34,36.51,42.85,5.69,33.59,39.28,5.7,37.08,42.78,5.27,38.01,43.28,6.34,39.42,45.76,6.71,39.42,46.13,6.94,39.23,46.17,6.45,40.29,46.74,6.58,40.71,47.29,6.26,40.2,46.46,6.11,41.39,47.5,5.84,40.65,46.49,7.03,40.39,47.42,6.3,42.52,48.82,6.74,42.12,48.86,6.58,43.72,50.3,7.17,42.58,49.75,6.83,42.12,48.95,6.15,40.65,46.8,6.42,38.91,45.33,6.84,40,46.84,6.56,37.59,44.15,6.22,38,44.22,6.28,39.73,46.01
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,4.6,6.7
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.5,5.6
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,20.9,25.4
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,3.3
Canada,2.86,14.53,17.39,3.28,14.82,18.1,3.55,16.56,20.11,3.35,17.93,21.28,3.35,19.12,22.47,4.18,20.27,24.45,3.56,21.8,25.36,3.45,22.47,25.92,3.4,23.42,26.82,3.58,24.27,27.85,3.52,25.34,28.86,3.91,27.08,30.99,4.52,28.72,33.24,4.28,30.43,34.71,4.59,31.25,35.84,5.03,32.22,37.25,5.18,33.61,38.79,5.64,36.82,42.46,5.81,36.92,42.73,5.95,38.46,44.41,6.3,40.2,46.5,6.49,41.82,48.31,7.85,42.76,50.61,8.23,44.21,52.44,8.9,46.37,55.27,9.32,45.7,55.02,9.52,47.29,56.81,10.8,48.94,59.74,11.49,49.98,61.47,12.55,50.99,63.54,13.07,52.59,65.66,13.89,51.9,65.79,14.92,54.82,69.74,15.25,55.24,70.49,16.84,56.68,73.52,18.13,54.71,72.84,18.24,55.09,73.33,19.23,54.68,73.91,20.05,56.34,76.39,20.07,56.12,76.19,20.51,55.21,75.72,21.98,54.74,76.72,22.12,53.67,75.79,23.3,53.42,76.72,23.5,51.75,75.25,22.77,49.49,72.26,24.57,49.01,73.58,23.33,46.93,70.26,24.86,46.99,71.85,24.88,47.07,71.95,24.67,42.98,67.65,24.4,43.01,67.41,25.05,42.85,67.9
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.4,3
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,4.6,5.3
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,4.6,5.3
Chile,,,,,,,,,,,,,,,,4.18,11.26,15.44,3.77,12.3,16.07,4.25,11,15.25,4.16,10.8,14.96,3.89,12.53,16.42,4.45,12.77,17.22,4.52,12.04,16.56,4.34,12.39,16.73,4.77,13.87,18.64,4.47,13.2,17.67,4.38,13.37,17.75,4.77,14.09,18.86,5.24,15.43,20.67,4.36,16.18,20.54,5.12,17.19,22.31,5.01,16.78,21.79,5.11,17.26,22.37,4.35,17.45,21.8,4.44,19.43,23.87,4.63,17.14,21.77,4.7,18.26,22.96,5.27,19.18,24.45,5.2,20.28,25.48,4.51,19.38,23.89,5.87,19.97,25.84,5.56,21.26,26.82,5.29,20.6,25.89,5.41,22.33,27.74,5.48,22.52,28,5.76,21.52,27.28,5.93,22.88,28.81,5.92,21.22,27.14,5.87,20.61,26.48,5.56,20.95,26.51,6.09,20.87,26.96,6.17,21.16,27.33,6.13,23.43,29.56,6.32,22.34,28.66,7.02,21.6,28.62,6.36,20.4,26.76,6.75,21.5,28.25,7.12,21.86,28.98,7.32,19.75,27.07,6.65,20.03,26.68,6.87,19.32,26.19,6.92,19.03,25.95,7.4,19.55,26.95,7.32,18.89,26.21
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.24,33.24,,32.77,32.77,,35.81,35.81,,38.3,38.3,,36.3,36.3,,37.36,37.36,,36.97,36.97,,37.58,37.58,,38.83,38.83,,38.5,38.5,,39.5,39.5,,41.2,41.2,,40.81,40.81,,41.7,41.7,,,,16.3,36.7,53
Colombia,,,,,,,,,,2.42,5.33,7.75,2.4,3.65,6.05,2.34,3.67,6.01,2.1,4.56,6.66,2.26,4.79,7.05,2.26,3.83,6.09,2.09,5.11,7.2,1.9,5.26,7.16,2.41,4.84,7.25,2.62,5.58,8.2,2.39,5.89,8.28,2.5,6.53,9.03,2.82,5.83,8.65,3.09,6.35,9.44,2.98,7.01,9.99,2.58,6.68,9.26,2.58,6.47,9.05,,,,,,,3.35,7.02,10.37,,,,3.4,7.53,10.93,3.54,7.59,11.13,4.04,8.94,12.98,4.2,8.61,12.81,,,,,,,,,,,,,,,,,,,5.14,11.84,16.98,5.8,12.86,18.66,5.62,13.22,18.84,6.12,13.79,19.91,5.79,13.18,18.97,6.15,13.5,19.65,5.87,13.23,19.1,6.74,13.91,20.65,6.7,13.5,20.2,6.57,13.77,20.34,6.19,13.76,19.95,6.63,13.81,20.44,6.97,13.97,20.94,7.01,13.93,20.94,6.35,13.24,19.59,7.16,14.08,21.24,,,,6.88,14.06,20.94,7.18,14.41,21.59
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.5,5.6
Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3.6,4.1
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.73,4.72,2.19,4.99,7.18,2.94,3.94,6.88,3.83,5.77,9.6,1.72,4.17,5.89,2.34,4.76,7.1,3.14,5.09,8.23,3.54,7.87,11.41,3.36,4.99,8.35,3.32,5.02,8.34,4.02,4.84,8.86,4.03,8.19,12.22,2.4,6.19,8.59,4.72,7.47,12.19,5.06,9.54,14.6,3.75,8.98,12.73,4.31,9.11,13.42,4.46,9.32,13.78,3.77,8.83,12.6,5.1,10.19,15.29,6.05,12.61,18.66,6.19,12.55,18.74,4.28,13.03,17.31,5.19,14.21,19.4,5.39,13,18.39,4.73,10.89,15.62,6.16,12.72,18.88,4.35,14.22,18.57,6.87,12.79,19.66,4.65,13.38,18.03,4.76,11.1,15.86,4.51,12.31,16.82,5.01,13.12,18.13,4.5,12.44,16.94,4.91,11.26,16.17,5.09,13.91,19,5.76,12.17,17.93,3.82,10.57,14.39,4.88,12.18,17.06,5.34,11.26,16.6,4.37,11.11,15.48,3.69,9.7,13.39
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,6,7.2
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,61.36,67.9,8.32,61.16,69.48,7.83,66.38,74.21,7.97,68.88,76.85,8.63,67.04,75.67,8.51,68.41,76.92,8.78,66.02,74.8,8.61,62.2,70.81,7.31,61.18,68.49,8.04,59.73,67.77,7.57,57.07,64.64,9.01,59.75,68.76,8.48,61.66,70.14,9.93,62.57,72.5,8.8,61.28,70.08,10.39,58.44,68.83,9.61,61.9,71.51,10.21,58.98,69.19
