,1950,,,1951,,,1952,,,1953,,,1954,,,1955,,,1956,,,1957,,,1958,,,1959,,,1960,,,1961,,,1962,,,1963,,,1964,,,1965,,,1966,,,1967,,,1968,,,1969,,,1970,,,1971,,,1972,,,1973,,,1974,,,1975,,,1976,,,1977,,,1978,,,1979,,,1980,,,1981,,,1982,,,1983,,,1984,,,1985,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,
Country,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07,26.18,33.25,7.84,26.2,34.04,8.62,25.61,34.23,8.21,25.37,33.58,8.18,26.13,34.31,8.83,27.21,36.04,8.11,23.28,31.39,7.68,25.23,32.91,7.85,24.09,31.94,7.97,25.17,33.14,7.73,25.92,33.65,8.36,24.44,32.8,8.25,23.5,31.75,7.75,24.06,31.81,8.42,26.48,34.9,8.96,28.3,37.26,8.12,27.04,35.16,8.04,26.03,34.07,9.29,29.51,38.8,8.94,28.7,37.64,9.77,27.34,37.11,7.83,26.8,34.63,8.79,26.61,35.4,7.71,27.37,35.08,8.08,27.23,35.31,9.51,26.8,36.31,8.88,27.07,35.95,9.11,28.12,37.23
Italy,,,,2.57,9.45,12.02,2.68,10.77,13.45,2.92,12.05,14.97,2.97,13.96,16.93,3.32,14.7,18.02,3.47,16.68,20.15,3.43,17.77,21.2,3.57,18.47,22.04,3.42,19.78,23.2,4.01,21.65,25.66,4,22.82,26.82,3.93,24.3,28.23,4.22,25.13,29.35,4.38,28.04,32.42,4.42,29.23,33.65,4.73,30.57,35.3,4.54,32.28,36.82,4.57,34.46,39.03,4.71,36.21,40.92,4.64,36.02,40.66,4.55,38.63,43.18,4.92,39.66,44.58,5.15,41.11,46.26,5.22,43.21,48.43,5.37,44.79,50.16,5.64,47.1,52.74,5.87,48.53,54.4,5.64,50.44,56.08,5.95,52.35,58.3,6.07,55.13,61.2,6.26,54.76,61.02,6.32,56.85,63.17,6.62,58.23,64.85,6.81,58.26,65.07,6.89,59.34,66.23,7.29,58.04,65.33,7.19,59.78,66.97,7.31,59.35,66.66,7.33,57.36,64.69,7.27,56.13,63.4,7.23,55.76,62.99,7.82,55.54,63.36,7.68,55.02,62.7,7.77,54.07,61.84,7.87,52.3,60.17,8,51.15,59.15,7.83,50.14,57.97,8.02,49.21,57.23,7.91,48.2,56.11,8.28,46.03,54.31,8.38,45.36,53.74,8.75,44.23,52.98
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,22.1,27.6
Japan,0.95,2.69,3.64,1.1,2.69,3.79,1.36,3.48,4.84,1.41,3.86,5.27,1.84,4.89,6.73,2.12,5.77,7.89,2.52,6.86,9.38,2.68,7.35,10.03,3.26,8.23,11.49,3.33,9.15,12.48,3.52,9.8,13.32,3.95,10.35,14.3,4.13,11.15,15.28,4.2,11.95,16.15,4.39,12.51,16.9,4.66,12.99,17.65,4.94,13.73,18.67,4.91,14.42,19.33,5,14.9,19.9,5.25,15.66,20.91,5.17,15.86,21.03,5.19,16.56,21.75,5.6,17.69,23.29,5.62,18.02,23.64,5.62,18.89,24.51,5.93,19.59,25.52,6.21,20.44,26.65,6.37,21.72,28.09,6.69,22.43,29.12,6.69,23.67,30.36,7.07,24.27,31.34,7.19,25.34,32.53,7.45,25.78,33.23,7.49,26.45,33.94,7.69,27.32,35.01,7.65,27.68,35.33,7.73,27.54,35.27,7.88,28.71,36.59,8.03,29.3,37.33,8.12,30.21,38.33,7.9,30.35,38.25,8.09,30.48,38.57,8.34,30.74,39.08,8.18,30.86,39.04,8.32,31.06,39.38,8.42,31.51,39.93,8.55,31.95,40.5,8.45,31.42,39.87,8.56,31.37,39.93,8.46,31.01,39.47,8.4,30.89,39.29,8.3,30.42,38.72,8.04,30.22,38.26
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,15.3,18.5
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,55.3,63.2,8.06,52.67,60.73,,,,,,,8.5,59.51,68.01,8.81,62.24,71.05,7.93,63.72,71.65,9.35,65.08,74.43,9.48,67.84,77.32,9.63,70.64,80.27,9.75,69.87,79.62,8.97,71.09,80.06,8.97,70.73,79.7,8.79,63.97,72.76,8.56,63.25,71.81,8.64,59.47,68.11,8.36,57.33,65.69,7.93,58.45,66.38,8.17,54.38,62.55,7.67,54.61,62.28,7.47,51.71,59.18,7.42,52.04,59.46
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,4.1,6.2
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,15.06,18.85,,,,,,,5.25,17.93,23.18,3.16,16.83,19.99,2.63,24.86,27.49,3.21,20.65,23.86,7.24,24.6,31.84,9.11,25.59,34.7,7.58,16.69,24.27,8.85,30.2,39.05,7,24.54,31.54,10.02,26.8,36.82,6.49,26.09,32.58,7.14,20.44,27.58,4.92,18.66,23.58,,,,,,,,,,,,,,,,8.01,11.87,19.88,5.65,11.79,17.44,5.91,20.32,26.23,5.55,19.63,25.18,9.61,19.29,28.9,9.33,15.92,25.25,2.79,11.48,14.27,5.26,16.99,22.25,4.74,9.58,14.32,3.08,12.28,15.36
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,28.77,33.07,4.04,33.23,37.27,,,,,,,3.5,31.19,34.69,4.54,32.68,37.22,5.24,32.19,37.43,5.68,35.11,40.79,4.73,38.71,43.44,6.07,35.14,41.21,5.41,36.29,41.7,5.66,36.41,42.07,4.21,28.15,32.36,5.01,25.47,30.48,3.76,25.99,29.75,4.02,24.04,28.06,4.65,23.69,28.34,4.27,22.31,26.58,3.55,22.84,26.39,4.78,20.38,25.16,4.55,19.35,23.9,4.08,22.15,26.23
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,16.9,22.9
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,51.86,57.49,5.66,51.09,56.75,6.01,57.91,63.92,5.97,57.73,63.7,6.28,56.64,62.92,6.55,58.81,65.36,7.47,62.83,70.3,7.15,64.85,72,6.41,66.08,72.49,7.46,65.43,72.89,6.84,63.94,70.78,6.77,70.83,77.6,6.34,68.1,74.44,6.64,63.61,70.25,5.73,67.22,72.95,6.24,60.97,67.21,6.42,62.33,68.75,6.11,57.23,63.34,6.23,57.97,64.2,6.11,61.82,67.93,5.78,55.5,61.28,6.2,60.26,66.46,6.04,56.63,62.67
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,29.1,33.7
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,11.3,12.9
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.6,2.2
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,10.1,12.2
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,52.29,57.26,5.34,51.81,57.15,,,,,,,5.88,54.2,60.08,5.45,56.13,61.58,5.12,57.88,63,5.5,59.83,65.33,5.75,59.51,65.26,6.06,61.46,67.52,6.1,65.03,71.13,5.03,62.91,67.94,6.26,62.96,69.22,5.08,64.79,69.87,5.71,63.4,69.11,5.21,60.33,65.54,5.46,57.9,63.36,4.64,60.33,64.97,5.84,58.69,64.53,4.96,54.13,59.09,5.66,55.58,61.24,4.71,55.21,59.92
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69,63.51,68.2,3.41,65.72,69.13,3.81,56.77,60.58,3.49,71.45,74.94,3.95,69.1,73.05,8.14,63.32,71.46,3.61,67.07,70.68,3.72,54.93,58.65,5.11,66.74,71.85,5.45,68.53,73.98,4.56,71.53,76.09,5.56,65.46,71.02,7.01,64.36,71.37,7.77,67.29,75.06,5,71.75,76.75,3.9,72.98,76.88,6.65,70.41,77.06,10.58,67.46,78.04,9.72,66.17,75.89,6.23,72.5,78.73,8.48,70.25,78.73,7.62,72.4,80.02,9.75,63.13,72.88,8.71,61.6,70.31,9.14,55.89,65.03,9.95,62.57,72.52,8.5,63.51,72.01,11.32,51.91,63.23,9.14,58.45,67.59,9.75,54.84,64.59,14.66,54.09,68.75,11.89,53.29,65.18,13.24,46.41,59.65,11.04,48.06,59.1,10.17,41.67,51.84,7.97,44,51.97
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.5,5.6
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2.4,2.8
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,27.9,38
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2.8,2.9
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,38.38,40.61,,,,2.71,30.7,33.41,3.07,38.06,41.13,4.92,40.92,45.84,1.91,35.94,37.85,3.34,44.2,47.54,0.61,25.01,25.62,1.1,29.24,30.34,2.76,30.44,33.2,1.24,47.36,48.6,5.26,38.99,44.25,3.63,31.18,34.81,1.86,41.25,43.11,3.16,40.01,43.17,4.45,39.62,44.07,5.35,41.53,46.88,4.81,39.64,44.45,6.85,40.18,47.03,4.58,39.89,44.47,2.45,47.48,49.93,5.36,47.48,52.84,2.22,47.77,49.99,4.78,35.49,40.27,4.28,45.36,49.64,2.9,40.48,43.38,2.48,44.11,46.59,4.56,43.76,48.32,5.12,42.54,47.66,5.88,40.42,46.3,2.32,43.33,45.65,6.5,49.16,55.66,4.21,38.57,42.78,5.96,32.29,38.25,4.8,38.19,42.99,7.75,35.12,42.87,5.9,40.76,46.66,4.53,41.35,45.88
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,2.4,3
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,12.15,13.88,1.24,9.55,10.79,1.68,8.57,10.25,2.01,11.82,13.83,0.62,4.35,4.97,3.26,11.11,14.37,2.4,9.39,11.79,2.43,16.95,19.38,1.01,16.24,17.25,4.67,15.71,20.38,3.7,11.47,15.17,2.63,20.94,23.57,3.45,27.53,30.98,4.33,10.94,15.27,3.36,18.63,21.99,2.47,19.57,22.04,4.77,11.83,16.6,3.38,16.91,20.29,5.76,21.52,27.28,2.22,22.18,24.4,4.7,30.83,35.53,3.89,19.84,23.73,3.18,15.35,18.53,4.39,19.29,23.68,4.14,19.94,24.08,3.78,17.1,20.88,4.08,14.3,18.38,6.18,20.29,26.47,4.65,18.71,23.36,4.21,15.59,19.8,4.85,18.74,23.59,3.25,17.62,20.87,3.42,14.93,18.35,4.38,14.8,19.18,4.13,17.49,21.62,3.48,16.45,19.93,3.22,12.7,15.92,5.01,16.7,21.71,4.34,14.02,18.36,4.04,12.86,16.9,4.21,19.88,24.09,4.95,15.87,20.82
Mexico,,,,,,,,,,,,,,,,2.39,3.66,6.05,2.59,4.28,6.87,2.88,4.41,7.29,2.83,5.58,8.41,3.3,5.54,8.84,3.21,5.84,9.05,3.32,5.71,9.03,3,5.47,8.47,3.26,5.69,8.95,3.19,5.98,9.17,3.35,6.64,9.99,3.72,6.56,10.28,3.72,7.55,11.27,3.58,7.12,10.7,3.35,6.87,10.22,3.65,7.45,11.1,3.81,7.79,11.6,3.86,7.98,11.84,3.98,8.29,12.27,3.6,8.62,12.22,3.73,9.31,13.04,4.03,9.65,13.68,4.22,9.79,14.01,4.05,10.86,14.91,4.53,11.81,16.34,4.49,11.06,15.55,4.66,12.05,16.71,4.39,12.41,16.8,5,12.97,17.97,5.13,13.34,18.47,5.35,14.25,19.6,5.52,14.47,19.99,5.41,15.03,20.44,5.43,15.18,20.61,5.33,15.83,21.16,5.41,14.77,20.18,5.4,14.81,20.21,5.61,15.28,20.89,5.44,16.02,21.46,5.71,15.36,21.07,5.34,14.91,20.25,5.4,14.22,19.62,5.67,14.49,20.16,5.25,13.7,18.95,5.19,13.62,18.81,4.97,12.66,17.63,4.76,12.65,17.41,4.96,12.5,17.46
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,31.5,37.52,4.95,33.52,38.47,,,,,,,6.12,39.7,45.82,5.89,41.09,46.98,7.73,42.18,49.91,6.9,45.36,52.26,8.19,47.7,55.89,6.19,45.88,52.07,6.99,42.57,49.56,5.07,42.12,47.19,6.63,41.42,48.05,6.19,44.01,50.2,5.59,40.75,46.34,5.77,41.29,47.06,6.06,35.03,41.09,5.25,31.37,36.62,5.24,28.11,33.35,4.65,28.11,32.76,5.4,30.59,35.99,5.05,28.48,33.53
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,27.6,40.6
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,19.6,21.5
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.7,2.9
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,25.5,37.3
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,5.9,8.1
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,11,13.2
Netherlands,3.05,22.92,25.97,3.69,25.86,29.55,2.8,26.45,29.25,3.09,27.61,30.7,3.23,30.74,33.97,2.79,30.83,33.62,3.29,34.27,37.56,3.14,35.31,38.45,2.96,36.52,39.48,3.14,40.22,43.36,3.24,41.81,45.05,3.66,45.47,49.13,3.24,47.6,50.84,3.45,50.47,53.92,3.46,52.54,56,3.43,52.85,56.28,3.3,56.33,59.63,3.67,59.82,63.49,3.97,62.09,66.06,3.3,62.83,66.13,3.69,64.88,68.57,3.86,68.02,71.88,4.15,67.5,71.65,3.81,70.15,73.96,4.43,70.4,74.83,4.3,72.97,77.27,4.6,75.34,79.94,5.06,74.28,79.34,5.39,77.89,83.28,5.41,76,81.41,6.13,77.9,84.03,6.45,77.85,84.3,6.97,78.2,85.17,7.14,75.91,83.05,8.1,77.18,85.28,8.22,76.75,84.97,8.78,76.96,85.74,8.79,74.82,83.61,9.87,74.94,84.81,10.46,71.72,82.18,10.31,67.3,77.61,10.75,67.53,78.28,11.73,66.23,77.96,12.61,65.15,77.76,13.36,62.74,76.1,13.82,61.25,75.07,13.86,58.83,72.69,14.75,57.72,72.47,14.95,56.19,71.14,15.99,54.37,70.36,16.85,50.45,67.3,17.04,50.42,67.46,18.1,49.33,67.43
New Zealand,2.55,16.86,19.41,3.22,19.48,22.7,3.56,21.99,25.55,2.99,21.84,24.83,2.56,23.68,26.24,3.04,26.49,29.53,4.46,26.78,31.24,3.39,30.16,33.55,4.1,28.74,32.84,3.89,29.93,33.82,4.63,27.96,32.59,5.32,32.24,37.56,4.39,34.7,39.09,5.59,36.6,42.19,5.58,37.55,43.13,4.78,37.78,42.56,5,41.04,46.04,5.91,37.39,43.3,6.11,45.11,51.22,7.31,46.05,53.36,8.99,47,55.99,8.06,45.99,54.05,9.91,42.33,52.24,10.85,45.44,56.29,11.21,48.88,60.09,10.96,49.66,60.62,10.58,51.74,62.32,11.81,50.33,62.14,12.4,48.49,60.89,12.66,49.49,62.15,12.74,48.64,61.38,14.03,49.44,63.47,13.88,46.14,60.02,13.54,50.98,64.52,13.68,51.01,64.69,15.16,45.16,60.32,14.17,47.92,62.09,17.11,47.38,64.49,16.46,44.14,60.6,17.61,42.92,60.53,17.96,42.19,60.15,17.56,40.21,57.77,17.13,42.35,59.48,17.17,38.93,56.1,18.23,38.42,56.65,18.6,37.47,56.07,17.7,36.93,54.63,18.96,35.27,54.23,17.94,33.42,51.36,19.1,32.8,51.9,17.2,31.58,48.78,19.16,30.17,49.33,18.06,29.74,47.8
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.49,0.61,0.29,0.51,0.8,0.61,1.41,2.02,0.61,0.9,1.51,0.26,,0.26,,,,,,,0.64,0.26,0.9,2.17,1.37,3.54,,,,,,,,,,0.65,0.5,1.15,0.43,0.52,0.95,1.22,2.12,3.34,0.29,0.28,0.57,0.62,1.36,1.98,,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,3.62,5.3,1.98,3.5,5.48,1.92,5.47,7.39,2.3,3.43,5.73,1.41,3.42,4.83,1.54,3.83,5.37,1.93,5.09,7.02,,,,3.3,5.1,8.4,2.74,5.55,8.29,1.5,5.41,6.91,2.08,6.1,8.18,3.24,6.33,9.57,2.32,4.6,6.92,2.32,5.52,7.84
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4.6,5
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.1,1.5
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,43,53.3
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13,31.65,36.78,4.72,34.93,39.65,5.21,38.04,43.25,7.16,41.29,48.45,6.01,36.43,42.44,7.04,41.33,48.37,6.6,41.49,48.09,7.01,43.11,50.12,7.38,39.91,47.29,7.64,41.45,49.09,6.94,41.64,48.58,5.48,42.24,47.72
Norway,,,,2.55,7.08,9.63,3.1,7.72,10.82,2.32,7.21,9.53,2.22,8.92,11.14,2.78,7.95,10.73,2.3,9.15,11.45,2.55,9.01,11.56,2.21,10.39,12.6,2.86,11.53,14.39,2.58,12.7,15.28,2.5,12.57,15.07,2.61,12.28,14.89,2.56,13.67,16.23,3.05,14.24,17.29,2.19,14.56,16.75,2.63,14.44,17.07,3.33,16.45,19.78,3.45,18.27,21.72,3.87,18.55,22.42,3.5,19.39,22.89,3.86,19.52,23.38,3.79,19.42,23.21,4.33,20.24,24.57,4.04,19.83,23.87,4.56,22.8,27.36,4.56,23.26,27.82,4.89,24.09,28.98,4.8,24.85,29.65,5.33,24.66,29.99,5.84,24.24,30.08,5.76,29.57,35.33,6.97,28.92,35.89,6.67,27.53,34.2,7.81,28.95,36.76,8.5,29.54,38.04,8.83,30.97,39.8,8.63,30.7,39.33,10.29,31.23,41.52,9.99,29.66,39.65,10.58,30.06,40.64,10.98,31.6,42.58,10.71,31.14,41.85,11.07,32.1,43.17,13.52,32.02,45.54,13.05,31.45,44.5,14.46,31.06,45.52,16.39,31.37,47.76,14.21,30.56,44.77,14.06,32.04,46.1,15.88,30.03,45.91,16.62,30.01,46.63,15.8,31.95,47.75
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,8.8,11
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,18.6,21.2
Panama,,,,,,,,,,,,,,,,0.96,5.55,6.51,1.09,6.04,7.13,1.64,9.06,10.7,1.68,7.05,8.73,2.35,5.27,7.62,2.21,5.82,8.03,2.46,8.81,11.27,2.91,6.65,9.56,1.96,6.91,8.87,0.64,6.43,7.07,2.46,9.61,12.07,1.16,7.92,9.08,1.76,6.91,8.67,0.7,7.12,7.82,1.93,7.02,8.95,1.86,8.85,10.71,2.04,8.42,10.46,1.75,10.82,12.57,3.85,9.6,13.45,2.92,10.65,13.57,3.19,11.24,14.43,2.22,10.54,12.76,3.17,12.24,15.41,2.45,11.43,13.88,3.37,13.92,17.29,4.03,16.07,20.1,2.82,12.38,15.2,4.27,13.87,18.14,3.74,14.22,17.96,4,13.9,17.9,3.72,12.69,16.41,4.24,16.49,20.73,5.29,13.53,18.82,3.2,14.39,17.59,4.33,15.17,19.5,,,,,,,,,,,,,,,,,,,4.45,12.84,17.29,4.16,11.35,15.51,3.86,12.45,16.31,3.47,12.34,15.81,5.01,10.88,15.89,3.69,11.56,15.25,5.13,12.62,17.75
